chunk_num,refseq_mapping,num_of_refseqs,top_node_difference,top_node_distance,top_likelyhood_full,top_likelyhood_trunc,top_likelyhood_full_on_trunc,top_likelyhood_full_on_trunc_dif,dist_divergence
011,MDDBOTU000656_full->MDDBOTU000636_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000701_full->MDDBOTU000676_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000578_full->MDDBOTU000565_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000470_full->MDDBOTU000459_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000657_full->MDDBOTU000637_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000561_full->MDDBOTU000565_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU001040_full->MDDBOTU000565_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU001031_full->MDDBOTU000989_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000413_full->MDDBOTU000405_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000476_full->MDDBOTU000464_trunc,681,0.0,0.0,0.271124020626,0.84235679737,0.84235679737,-0.571232776744,0.279
011,MDDBOTU001007_full->MDDBOTU000969_trunc,681,1.0,1.0393757093739217e-06,0.811678447847,0.327278854951,0.327104245626,0.48457420222100006,0.0062
011,MDDBOTU001683_full->MDDBOTU001608_trunc,681,2.0,0.2817206033368118,0.628893467522,1.0,,,0.2708
011,MDDBOTU001010_full->MDDBOTU000971_trunc,681,1.0,1.0393757093739217e-06,0.890390059751,0.3245813429,0.324407333551,0.5659827262000001,0.0029
011,MDDBOTU000480_full->MDDBOTU000468_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
011,MDDBOTU000661_full->MDDBOTU000641_trunc,681,0.0,0.0,1.0,1.0,1.0,0.0,0.0
012,MDDBOTU000710_full->MDDBOTU000684_trunc,300,1.0,0.03914858512983019,0.385234044728,0.149773938743,,,0.0246
012,MDDBOTU000627_full->MDDBOTU000610_trunc,300,1.0,0.03449435361083762,0.477961883451,0.178437509534,0.168764506694,0.309197376757,0.0584
012,MDDBOTU000625_full->MDDBOTU000609_trunc,300,2.0,0.03449614696931384,0.494320980766,0.185005073072,0.170616486825,0.323704493941,0.0596
012,MDDBOTU001000_full->MDDBOTU000962_trunc,300,0.0,0.0,1.0,1.0,1.0,0.0,0.0
014,MDDBOTU001536_full->MDDBOTU001464_trunc,158,0.0,0.0,1.0,1.0,1.0,0.0,0.0
016,MDDBOTU001812_full->MDDBOTU001726_trunc,180,0.0,0.0,0.781316683605,0.935159800989,0.935159800989,-0.15384311738400003,0.0248
016,MDDBOTU001843_full->MDDBOTU001753_trunc,180,0.0,0.0,0.450806814961,0.433152395035,0.433152395035,0.017654419925999976,0.0275
016,MDDBOTU001840_full->MDDBOTU001753_trunc,180,0.0,0.0,0.462220917391,0.433152395035,0.433152395035,0.029068522355999993,0.0273
017,MDDBOTU000008_full->MDDBOTU000015_trunc,26,4.0,0.06459730677786266,1.0,0.327268658761,,,0.0809
017,MDDBOTU000576_full->MDDBOTU000563_trunc,26,4.0,0.0537846706095432,0.318235791249,0.222073080748,0.129788896263,0.18844689498599998,0.0174
017,MDDBOTU000031_full->MDDBOTU000032_trunc,26,4.0,0.06459730677786266,0.962144233165,0.324820714509,,,0.0789
017,MDDBOTU000641_full->MDDBOTU000623_trunc,26,4.0,0.06459730677786266,0.935852713797,0.322379261278,,,0.0774
018,MDDBOTU000644_full->MDDBOTU000501_trunc,322,0.0,0.0,0.979261081966,0.625118775332,0.625118775332,0.35414230663400004,0.27
018,MDDBOTU000640_full->MDDBOTU000501_trunc,322,0.0,0.0,0.764707087328,0.625118775332,0.625118775332,0.13958831199599997,0.3097
018,MDDBOTU000227_full->MDDBOTU000222_trunc,322,3.0,0.32077127058626054,0.816203870172,0.233882475989,,,0.3456
018,MDDBOTU001797_full->MDDBOTU001714_trunc,322,3.0,0.43783307617319894,0.335707183247,0.531161989721,,,0.1825
018,MDDBOTU001796_full->MDDBOTU001714_trunc,322,3.0,0.43783307617319894,0.331939852651,0.531161989721,,,0.1761
018,MDDBOTU000965_full->MDDBOTU000929_trunc,322,3.0,0.1419817039710259,0.577499807682,0.490810475524,0.151738769291,0.42576103839100005,0.0885
021,MDDBOTU000502_full->MDDBOTU000488_trunc,136,0.0,0.0,1.0,1.0,1.0,0.0,0.0
021,MDDBOTU000500_full->MDDBOTU000488_trunc,136,0.0,0.0,1.0,1.0,1.0,0.0,0.0
021,MDDBOTU001316_full->MDDBOTU001258_trunc,136,1.0,0.2837362244088533,0.425485867889,0.378265853713,0.176512808962,0.248973058927,0.1694
022,MDDBOTU000921_full->MDDBOTU000887_trunc,104,2.0,0.0834900329947714,0.323238540706,0.742326589891,,,0.0908
022,MDDBOTU000043_full->MDDBOTU000044_trunc,104,6.0,0.1651867871298856,0.55354282439,0.268678137874,,,0.1717
022,MDDBOTU001340_full->MDDBOTU001281_trunc,104,5.0,0.16934051261474778,0.368206306078,0.204139056572,,,0.1995
