NBCLAB4119,24,1,172476
NBCLAB4120,28,25,172483
NBCLAB4121,35,53,172490
NBCLAB4122,44,88,172512
NBCLAB4123,43,132,172527
NBCLAB4124,35,175,172538
NBCLAB4125,41,210,172552
NBCLAB4126,37,251,172561
NBCLAB4127,34,288,172568
NBCLAB4128,31,322,172575
NBCLAB4129,26,353,172578
NBCLAB4130,41,379,172595
NBCLAB4131,31,420,172607
NBCLAB4132,30,451,172608
NBCLAB4133,32,481,172612
NBCLAB4134,41,513,172618
NBCLAB4135,40,554,172623
NBCLAB4136,40,594,172624
NBCLAB4137,45,634,172632
NBCLAB4138,35,679,172638
NBCLAB4139,44,714,172648
NBCLAB4140,36,758,172654
NBCLAB4141,40,794,172658
NBCLAB4142,31,834,172660
NBCLAB4143,42,865,172664
NBCLAB4144,37,907,172666
NBCLAB4145,30,944,172667
NBCLAB4146,27,974,172670
NBCLAB4147,47,1001,172679
NBCLAB4148,29,1048,172688
NBCLAB4149,36,1077,172693
NBCLAB4150,44,1113,172701
NBCLAB4151,35,1157,172707
NBCLAB4152,47,1192,172717
NBCLAB4153,44,1239,172727
NBCLAB4154,35,1283,172733
NBCLAB4155,39,1318,172735
NBCLAB4156,36,1357,172744
NBCLAB4157,37,1393,172746
NBCLAB4158,26,1430,172750
NBCLAB4159,29,1456,172753
NBCLAB4160,35,1485,172757
NBCLAB4161,24,1520,172760
NBCLAB4162,32,1544,172771
NBCLAB4163,35,1576,172777
NBCLAB4164,39,1611,172782
NBCLAB4165,31,1650,172784
NBCLAB4166,26,1681,172785
NBCLAB4167,38,1707,172789
NBCLAB4168,33,1745,172792
NBCLAB4169,29,1778,172797
NBCLAB4170,26,1807,172801
NBCLAB4171,28,1833,172803
NBCLAB4172,38,1861,172807
NBCLAB4173,38,1899,172813
NBCLAB4174,26,1937,172822
NBCLAB4175,40,1963,172828
NBCLAB4176,28,2003,172836
NBCLAB4177,28,2031,172838
NBCLAB4178,26,2059,172855
NBCLAB4179,29,2085,172870
NBCLAB4180,51,2114,172887
NBCLAB4181,44,2165,172899
NBCLAB4182,38,2209,172907
NBCLAB4183,33,2247,172917
NBCLAB4184,24,2280,172924
NBCLAB4185,29,2304,172929
NBCLAB4186,31,2333,172934
NBCLAB4187,33,2364,172936
NBCLAB4188,24,2397,172941
NBCLAB4189,23,2421,172944
NBCLAB4190,41,2444,172957
NBCLAB4191,26,2485,172960
NBCLAB4192,26,2511,172961
NBCLAB4193,31,2537,172965
NBCLAB4194,31,2568,172970
NBCLAB4195,37,2599,172977
NBCLAB4196,38,2636,172988
NBCLAB4197,41,2674,172991
NBCLAB4198,33,2715,172995
NBCLAB4199,40,2748,173005
NBCLAB4200,24,2788,173007
NBCLAB4201,27,2812,173011
NBCLAB4202,25,2839,173017
NBCLAB4203,40,2864,173024
NBCLAB4204,48,2904,173029
NBCLAB4205,28,2952,173030
NBCLAB4206,26,2980,173030
NBCLAB4207,34,3006,173033
NBCLAB4208,44,3040,173039
NBCLAB4209,40,3084,173044
NBCLAB4210,34,3124,173048
NBCLAB4211,37,3158,173052
NBCLAB4212,30,3195,173057
NBCLAB4213,28,3225,173059
NBCLAB4311,1,3253,173059
NBCLAB4312,38,3254,173088
NBCLAB4313,39,3292,173105
NBCLAB4314,29,3331,173116
NBCLAB4315,24,3360,173124
NBCLAB4316,22,3384,173139
NBCLAB4317,31,3406,173154
NBCLAB4318,38,3437,173162
NBCLAB4319,26,3475,173171
NBCLAB4320,25,3501,173179
NBCLAB4321,32,3526,173186
NBCLAB4322,1,3558,173186
NBCLAB4323,41,3559,173202
NBCLAB4324,31,3600,173209
NBCLAB4325,25,3631,173220
NBCLAB4326,21,3656,173224
NBCLAB4327,32,3677,173236
NBCLAB4328,34,3709,173245
NBCLAB4329,41,3743,173253
NBCLAB4330,41,3784,173263
NBCLAB4331,21,3825,173268
NBCLAB4332,31,3846,173276
NBCLAB4333,24,3877,173282
NBCLAB4334,22,3901,173289
NBCLAB4335,35,3923,173302
NBCLAB4336,27,3958,173312
NBCLAB4337,33,3985,173319
NBCLAB4338,29,4018,173328
NBCLAB4339,28,4047,173333
NBCLAB4340,28,4075,173351
NBCLAB4341,47,4103,173362
NBCLAB4342,29,4150,173371
NBCLAB4343,33,4179,173376
NBCLAB4344,13,4212,173376
NBCLAB4345,38,4225,173381
NBCLAB4346,40,4263,173389
NBCLAB4347,30,4303,173394
NBCLAB4348,29,4333,173398
NBCLAB4349,14,4362,173399
NBCLAB4350,20,4376,173399
NBCLAB4351,35,4396,173405
NBCLAB4352,28,4431,173408
NBCLAB4353,29,4459,173413
NBCLAB4354,32,4488,173421
NBCLAB4355,31,4520,173429
NBCLAB4356,26,4551,173431
NBCLAB4357,24,4577,173438
NBCLAB4358,34,4601,173445
NBCLAB4359,25,4635,173449
NBCLAB4360,39,4660,173458
NBCLAB4361,36,4699,173464
NBCLAB4362,30,4735,173474
NBCLAB4363,32,4765,173478
NBCLAB4364,31,4797,173481
NBCLAB4365,23,4828,173483
NBCLAB4366,24,4851,173484
NBCLAB4367,39,4875,173494
NBCLAB4368,30,4914,173499
NBCLAB4369,32,4944,173505
NBCLAB4370,24,4976,173510
NBCLAB4371,29,5000,173520
NBCLAB4372,40,5029,173532
NBCLAB4373,37,5069,173535
NBCLAB4374,31,5106,173538
NBCLAB4375,26,5137,173542
NBCLAB4376,30,5163,173549
NBCLAB4377,30,5193,173553
NBCLAB4378,34,5223,173559
NBCLAB4379,30,5257,173564
NBCLAB4380,30,5287,173568
NBCLAB4381,56,5317,173578
NBCLAB4382,24,5373,173582
NBCLAB4383,22,5397,173587
NBCLAB4384,17,5419,173588
NBCLAB4385,30,5436,173589
NBCLAB4386,32,5466,173595
NBCLAB4387,43,5498,173606
NBCLAB4388,41,5541,173612
NBCLAB4389,32,5582,173613
NBCLAB4390,30,5614,173621
NBCLAB4391,23,5644,173623
NBCLAB4392,31,5667,173624
NBCLAB4393,25,5698,173632
NBCLAB4394,12,5723,173634
NBCLAB4395,24,5735,173637
NBCLAB4396,37,5759,173641
NBCLAB4397,37,5796,173645
NBCLAB4398,16,5833,173652
NBCLAB4399,33,5849,173655
NBCLAB4400,30,5882,173658
NBCLAB4401,29,5912,173659
NBCLAB4402,37,5941,173663
NBCLAB4403,19,5978,173664
NBCLAB4404,29,5997,173669
NBCLAB4405,26,6026,173673
