sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000015,SRR1502537,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502537,S096,pooled forest soil sample-S096,472,2258695,5020237,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000016,SRR1502515,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502515,S074,pooled forest soil sample-S074,467,2485271,5570340,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000017,SRR1502531,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502531,S090,pooled forest soil sample-S090,444,2288188,5228485,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000018,SRR1502532,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502532,S091,pooled forest soil sample-S091,444,2770428,6293171,2,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000019,SRR1502523,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502523,S082,pooled forest soil sample-S082,464,2455495,5502207,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000020,SRR1502524,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502524,S083,pooled forest soil sample-S083,466,3346386,7465458,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000021,SRR1502526,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502526,S085,pooled forest soil sample-S085,467,3383651,7569450,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000022,SRR1502527,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502527,S086,pooled forest soil sample-S086,467,4135613,9208082,4,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000023,SRR1502525,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502525,S084,pooled forest soil sample-S084,457,3369552,7588283,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000024,SRR1502396,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502396,G2751,pooled forest soil sample-G2751,460,2038173,4582652,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000025,SRR1502397,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502397,G2754,pooled forest soil sample-G2754,475,2494316,5504645,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000026,SRR1502398,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502398,G2755,pooled forest soil sample-G2755,469,1800043,4002989,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000027,SRR1502395,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502395,G2750,pooled forest soil sample-G2750,471,2581948,5730251,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000028,SRR1502394,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502394,G2749,pooled forest soil sample-G2749,450,1277556,2877426,1,2,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000029,SRR1502392,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502392,G2747,pooled forest soil sample-G2747,471,2484743,5513080,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000030,SRR1502393,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502393,G2748,pooled forest soil sample-G2748,452,1620698,3647084,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000031,SRR1502389,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502389,G2744,pooled forest soil sample-G2744,464,1931037,4304569,1,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000032,SRR1502390,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502390,G2745,pooled forest soil sample-G2745,469,1836654,4078749,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000033,SRR1502636,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502636,S207,pooled forest soil sample-S207,448,1494157,3407452,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000034,SRR1502603,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502603,S173,pooled forest soil sample-S173,476,3095103,6699149,3,6,4,2014-07-09T00:00:00Z,2014-07-09
