author_pk,affiliation_pk
MDDBAUT000116,MDDBAFF000065
MDDBAUT000115,MDDBAFF000066
MDDBAUT000117,MDDBAFF000067
MDDBAUT000121,MDDBAFF000067
MDDBAUT000124,MDDBAFF000067
MDDBAUT000118,MDDBAFF000068
MDDBAUT000120,MDDBAFF000069
MDDBAUT000122,MDDBAFF000070
MDDBAUT000123,MDDBAFF000071
MDDBAUT000128,MDDBAFF000071
MDDBAUT000131,MDDBAFF000072
MDDBAUT000132,MDDBAFF000073
MDDBAUT000133,MDDBAFF000074
MDDBAUT000133,MDDBAFF000075
MDDBAUT000135,MDDBAFF000076
MDDBAUT000136,MDDBAFF000077
MDDBAUT000139,MDDBAFF000077
MDDBAUT000153,MDDBAFF000077
MDDBAUT000137,MDDBAFF000078
MDDBAUT000138,MDDBAFF000079
MDDBAUT000140,MDDBAFF000080
MDDBAUT000143,MDDBAFF000080
MDDBAUT000141,MDDBAFF000081
MDDBAUT000142,MDDBAFF000082
MDDBAUT000142,MDDBAFF000083
MDDBAUT000144,MDDBAFF000084
MDDBAUT000145,MDDBAFF000085
MDDBAUT000177,MDDBAFF000085
MDDBAUT000180,MDDBAFF000085
MDDBAUT000146,MDDBAFF000086
MDDBAUT000147,MDDBAFF000087
MDDBAUT000148,MDDBAFF000088
MDDBAUT000150,MDDBAFF000088
MDDBAUT000152,MDDBAFF000089
MDDBAUT000154,MDDBAFF000090
MDDBAUT000155,MDDBAFF000090
MDDBAUT000157,MDDBAFF000090
MDDBAUT000154,MDDBAFF000091
MDDBAUT000155,MDDBAFF000092
MDDBAUT000156,MDDBAFF000093
MDDBAUT000158,MDDBAFF000094
MDDBAUT000159,MDDBAFF000094
MDDBAUT000161,MDDBAFF000094
MDDBAUT000162,MDDBAFF000094
MDDBAUT000158,MDDBAFF000095
MDDBAUT000158,MDDBAFF000096
MDDBAUT000160,MDDBAFF000097
MDDBAUT000160,MDDBAFF000098
MDDBAUT000162,MDDBAFF000099
MDDBAUT000163,MDDBAFF000100
MDDBAUT000165,MDDBAFF000100
MDDBAUT000163,MDDBAFF000101
MDDBAUT000164,MDDBAFF000101
MDDBAUT000165,MDDBAFF000101
MDDBAUT000166,MDDBAFF000102
MDDBAUT000167,MDDBAFF000102
MDDBAUT000168,MDDBAFF000102
MDDBAUT000170,MDDBAFF000102
MDDBAUT000169,MDDBAFF000103
MDDBAUT000169,MDDBAFF000104
MDDBAUT000169,MDDBAFF000105
MDDBAUT000171,MDDBAFF000106
MDDBAUT000175,MDDBAFF000106
MDDBAUT000176,MDDBAFF000106
MDDBAUT000172,MDDBAFF000107
MDDBAUT000173,MDDBAFF000107
MDDBAUT000174,MDDBAFF000108
MDDBAUT000178,MDDBAFF000109
MDDBAUT000181,MDDBAFF000110
MDDBAUT000182,MDDBAFF000110
MDDBAUT000183,MDDBAFF000111
MDDBAUT000183,MDDBAFF000112
MDDBAUT000185,MDDBAFF000112
MDDBAUT000187,MDDBAFF000112
MDDBAUT000188,MDDBAFF000112
MDDBAUT000184,MDDBAFF000113
MDDBAUT000185,MDDBAFF000114
MDDBAUT000186,MDDBAFF000115
MDDBAUT000190,MDDBAFF000116
MDDBAUT000191,MDDBAFF000116
MDDBAUT000193,MDDBAFF000116
MDDBAUT000192,MDDBAFF000117
