author_pk,article_pk,contribution_first
MDDBAUT000163,MDDBART000018,Y
MDDBAUT000164,MDDBART000018,N
MDDBAUT000165,MDDBART000018,N
MDDBAUT000166,MDDBART000019,Y
MDDBAUT000167,MDDBART000019,N
MDDBAUT000168,MDDBART000019,N
MDDBAUT000169,MDDBART000019,N
MDDBAUT000170,MDDBART000019,N
MDDBAUT000171,MDDBART000020,Y
MDDBAUT000172,MDDBART000020,N
MDDBAUT000173,MDDBART000020,N
MDDBAUT000174,MDDBART000020,N
MDDBAUT000175,MDDBART000020,N
MDDBAUT000176,MDDBART000020,N
MDDBAUT000177,MDDBART000021,N
MDDBAUT000178,MDDBART000021,N
MDDBAUT000179,MDDBART000021,N
MDDBAUT000180,MDDBART000021,N
MDDBAUT000181,MDDBART000021,N
MDDBAUT000182,MDDBART000021,N
MDDBAUT000183,MDDBART000022,Y
MDDBAUT000184,MDDBART000022,N
MDDBAUT000185,MDDBART000022,N
MDDBAUT000186,MDDBART000022,N
MDDBAUT000187,MDDBART000022,N
MDDBAUT000188,MDDBART000022,N
MDDBAUT000189,MDDBART000023,Y
MDDBAUT000190,MDDBART000024,Y
MDDBAUT000191,MDDBART000024,N
MDDBAUT000192,MDDBART000024,N
MDDBAUT000193,MDDBART000024,N
MDDBAUT000194,MDDBART000025,Y
